,product_Nom,product_Marque,product_Categorie,product_Prix
84,CHRISTOPHE ROBIN CREME DE JOUR AU BOIS DE SANTAL 100ML,ACADEMIE,Premium,340.0
85,CHRISTOPHE ROBIN CREME LAVANTE AU CITRON 250ML,ACADEMIE,Premium,432.0
86,CHRISTOPHE ROBIN DETOX DUO 75ML,ACADEMIE,Premium,374.4
87,CHRISTOPHE ROBIN GEL COLORANT TEMPORAIRE BLOND dore 100ML,ACADEMIE,Premium,540.0
88,CHRISTOPHE ROBIN GEL COLORANT TEMPORAIRE BLOND FONCE 100ML,ACADEMIE,Premium,748.8
89,CHRISTOPHE ROBIN GEL COLORANT TEMPORAIRE CHÂTAIN CLAIR 100ML,ACADEMIE,Premium,468.0
90,CHRISTOPHE ROBIN GEL COLORANT TEMPORAIRE CHÂTAIN FONCE 100ML,ACADEMIE,Premium,0.0
91,CHRISTOPHE ROBIN GELÉE DEMELANTE AUX MINERAUX MARINS 250ML,ACADEMIE,Premium,108.8
92,CHRISTOPHE ROBIN HUILE A LA LAVANDE 150ML,ARNAUD,Premium,395.02
93,CHRISTOPHE ROBIN HUILE VÉGÉTALE REGENERANTE A L’HUILE RARE DE FIGUE DE BARBARIE 125ML,ARNAUD,Premium,360.02
94,CHRISTOPHE ROBIN MASQUE BOUCLIER COULEUR 250ML,ARNAUD,Premium,370.02
95,CHRISTOPHE ROBIN MASQUE FONDANT HYDRATANT A L’ALOE VERA 200ML,ARNAUD,Premium,260.01
96,CHRISTOPHE ROBIN MASQUE REGENERANT A L’HUILE RARE DE FIGUE DE BARBARIE 250ML,ARNAUD,Premium,440.02
97,CHRISTOPHE ROBIN PÂTE LAVANTE ÉPAISSISSANTE AUX RASSOUL PUR ET ALGUE DE TAHITI 250M,ARNAUD,Premium,385.02
98,CHRISTOPHE ROBIN PERFECT HAIR DUO 50ML,ARNAUD,Premium,110.01
99,CHRISTOPHE ROBIN SERUM REGENERANT INTENSE A L’HUILE RARE DE FIGUE DE BARBARIE 50ML,ARNAUD,Premium,299.01
100,CHRISTOPHE ROBIN SHAMPOOING BOUCLIER COULEUR 250ML,ARNAUD,Premium,360.02
101,CHRISTOPHE ROBIN SHAMPOOING CLARIFIANT À LA CAMOMILLE ET AU BLEUET 250ML,ARNAUD,Premium,360.02
102,CHRISTOPHE ROBIN SHAMPOOING DÉLICAT VOLUME NATUREL À LA ROSE 250ML,ARNAUD,Premium,380.02
103,CHRISTOPHE ROBIN SHAMPOOING HYDRATANT À L’ALOE VERA 250ML,ARNAUD,Premium,275.01
104,CHRISTOPHE ROBIN SHAMPOOING PURIFIANT À LA BOUE THERMALE 250ML 12635445,ARNAUD,Premium,310.02
105,CHRISTOPHE ROBIN SHAMPOOING REGENERANT ? L’HUILE RARE DE FIGUE DE BARBARIE 250ML,ARNAUD,Premium,445.02
106,CHRISTOPHE ROBIN SHAMPOOING REGENERANT À L’HUILE RARE DE FIGUE DE BARBARIE 500ML,ARNAUD,Premium,445.02
107,CHRISTOPHE ROBIN SOIN NUANCEUR DE COULEUR BLOND DORÉ 250ML,ARNAUD,Premium,445.02
108,CHRISTOPHE ROBIN SOIN NUANCEUR DE COULEUR BLOND PUR BLOND PUR 250ML,ACADEMIE,Premium,540.0
109,CHRISTOPHE ROBIN SOIN NUANCEUR DE COULEUR BLOND PUR POCKET 75ML,ACADEMIE,Premium,520.0
110,CHRISTOPHE ROBIN SOIN NUANCEUR DE COULEUR BRUN FROID 250ML,ACADEMIE,Premium,540.0
111,CHRISTOPHE ROBIN SOIN NUANCEUR DE COULEUR BRUN FROID POCKET  75ML,ACADEMIE,Premium,520.0
112,CHRISTOPHE ROBIN SOIN NUANCEUR DE COULEUR CHÂTAIN ECLATANT 250ML,ACADEMIE,Premium,540.0
113,CHRISTOPHE ROBIN SOIN NUANCEUR DE COULEUR CHÂTAIN ECLATANT 75ML,ACADEMIE,Premium,344.0
114,CHRISTOPHE ROBIN SOIN NUANCEUR DE COULEUR ROUX VENITIEN 250ML,ACADEMIE,Premium,324.0
115,CHRISTOPHE ROBIN TROUSSE DE VOYAGE RITUEL DETOX,ACADEMIE,Premium,568.0
116,DARPHIN AROMA PEELING DOUX 50ML D112,ACADEMIE,Premium,296.0
117,DARPHIN CREME CORRECTRICE RIDES CONTOUR YEUX 15ML D40R,ACADEMIE,Premium,512.0
118,DARPHIN DERMABRASION ANTI-AGE 50ML D3YJ,ACADEMIE,Premium,192.0
119,DARPHIN EAU DEMAQUILLANTE MICELLAIRE D2YA01,ACADEMIE,Premium,576.0
120,DARPHIN ELIXIR CREME HUILE HYDRA NOURISSANTE A LA ROSE 50ML D9AR,ACADEMIE,Premium,340.0
121,DARPHIN ELIXIR SOIN D’AROME A LA ROSE 15ML D9AT,ACADEMIE,Premium,432.0
122,DARPHIN EXQUISAGE CREME REVELATRICE DE BEAUTE 50ML D026,ACADEMIE,Premium,374.4
123,DARPHIN EXQUISAGE SERUM REVELATEUR DE BEAUTE 30ML D027,ACADEMIE,Premium,540.0
124,DARPHIN FIBROGENE SERUM NOURRISSANT 30ML D30C,ACADEMIE,Premium,748.8
125,DARPHIN GEL MOUSSE NETTOYANT AU NENUPHAR D3FP,ACADEMIE,Premium,468.0
126,DARPHIN GEL MOUSSE PURIFIANT 125ML D1R1,ACADEMIE,Premium,0.0
127,DARPHIN HYDRASKIN LIGHT PNM 50ML D0CM,ACADEMIE,Premium,108.8
128,DARPHIN HYDRASKIN MAINS ET ONGLES 75ML D8X0,ARNAUD,Premium,395.02
129,DARPHIN HYDRASKIN RICHE PS 50ML D0CN,ARNAUD,Premium,360.02
130,DARPHIN HYDRASKIN SERUM D52G,ARNAUD,Premium,370.02
131,DARPHIN HYDRASKIN STICK HYDRATANT VISAGE ET YEUX 15G,ARNAUD,Premium,260.01
132,DARPHIN HYDRASKIN YEUX GEL CREME 15ML D88901,ARNAUD,Premium,440.02
133,DARPHIN IDEAL RESOURCE CONCENTRE HUILE JEUNESSE 60 CAPS D8YH,ARNAUD,Premium,385.02
134,DARPHIN IDEAL RESOURCE CONCENTRE HUILE REGENERANT 60CAPS DA06,ARNAUD,Premium,110.01
135,DARPHIN IDEAL RESOURCE CREME JOUR LUMIERE LISSANTE 30ML D9R4,ARNAUD,Premium,299.01
136,DARPHIN IDEAL RESOURCE CREME JOUR LUMIERE LISSANTE 50ML D4JL,ARNAUD,Premium,360.02
137,DARPHIN IDEAL RESOURCE CREME NUIT ANTI ÂGE & ÉCLAT 50ML D6P3,ARNAUD,Premium,360.02
138,DARPHIN IDEAL RESOURCE FLUIDE LISSANT 50ML D66N,ARNAUD,Premium,380.02
139,DARPHIN INTRAL BAUME REPARATEUR ANTI ROUGEURS 50ML D30E,ARNAUD,Premium,275.01
140,DARPHIN INTRAL CRÈME ANTI-CERNES C-YEUX 15ML,ARNAUD,Premium,310.02
141,DARPHIN INTRAL LAIT A DEMAQUILLER D0G5,ARNAUD,Premium,445.02
142,DARPHIN INTRAL MOUSSE DOUCEUR NETTOYANTE 125ML D823,ARNAUD,Premium,445.02
143,DARPHIN INTRAL TONIQUE 200ML D0G6,ARNAUD,Premium,445.02
144,DARPHIN INTRAL VOILE PROTECTEUR URBAIN SPF50 30ML D7TK,ACADEMIE,Premium,540.0
145,DARPHIN LUMIERE ESSENTIELLE DEMAQUILLANT MICELLAIRE 125ML D8A1,ACADEMIE,Premium,520.0
146,DARPHIN LUMIERE ESSENTIELLE GEL CREME 50ML D83F,ACADEMIE,Premium,540.0
147,DARPHIN LUMIERE ESSENTIELLE SERUM 30ML D84N,ACADEMIE,Premium,520.0
148,DARPHIN MASQUE HUILE DETOX ANTI STRESS 50ML D8A4,ACADEMIE,Premium,540.0
149,DARPHIN MASQUE HYDRATANT AU KIWI 75ML D27N,ACADEMIE,Premium,344.0
150,DARPHIN MELAPERFECT – FOUNDATION SHADE 1 30ML D6KW01,ACADEMIE,Premium,324.0
151,DARPHIN MELAPERFECT – FOUNDATION SHADE 2 SPF15 D6KW02,ACADEMIE,Premium,568.0
152,DARPHIN MELAPERFECT HYPER PIGMENTATION BASE 30ML D54K,ACADEMIE,Premium,296.0
153,DARPHIN MELAPERFECT HYPER PIGMENTATION PNS SPF20 50ML D75W,ACADEMIE,Premium,512.0
154,DARPHIN NECTAR AUX 8 FLEURS GOLDEN 30 ML  DA05,ACADEMIE,Premium,192.0
155,DARPHIN PREDERMINE CREME NUIT 50ML D8H20,ACADEMIE,Premium,576.0
156,DARPHIN PREDERMINE CREME PN 50 ML D0CY,ACADEMIE,Premium,340.0
157,DARPHIN PREDERMINE CREME PS D3CA,ACADEMIE,Premium,432.0
158,DARPHIN PREDERMINE SERUM FERMETE 30ML D49L,ACADEMIE,Premium,374.4
159,DARPHIN SERUM ANTI-POCHES ET ANTI-CERNES 15ML D27T,ACADEMIE,Premium,540.0
160,DARPHIN SKIN MAT MASQUE PURIFIANT 75ML D5C5,ACADEMIE,Premium,748.8
161,DARPHIN STIMULSKIN PLUS CREME DIVINE YEUX 15ML D8A2,ACADEMIE,Premium,468.0
162,DARPHIN STIMULSKIN PLUS CREME PNS 50ML D65N,ACADEMIE,Premium,0.0
163,DARPHIN STIMULSKIN PLUS SERUMASK ANTI AGE 50ML D7R9,ACADEMIE,Premium,108.8
164,DAVINES CALMING SHAMPOO 250ML 71262,ARNAUD,Premium,395.02
165,DAVINES CALMING SUPERACTIVE SERUM 100ML 71225,ARNAUD,Premium,360.02
166,DAVINES DEDE CONDITIONER 1L 75549,ARNAUD,Premium,370.02
167,DAVINES DEDE CONDITIONER 250ML 75548,ARNAUD,Premium,260.01
168,DAVINES DEDE SHAMPOOING 250ML 75019,ARNAUD,Premium,440.02
169,DAVINES DETOXIFYING MUD 50MLx6 PCS 71288,ARNAUD,Premium,385.02
170,DAVINES DETOXIFYING SCRUB SHAMPOOING 250ML 71264,ARNAUD,Premium,110.01
171,DAVINES ENERGIZING SEASONAL SUPERACTIVE LOTION 100ML 71255,ARNAUD,Premium,299.01
172,DAVINES ENERGIZING SHAMPOO 250ML 71252,ARNAUD,Premium,360.02
173,DAVINES ENERGIZING SHAMPOOING 1L 71253,ARNAUD,Premium,360.02
174,DAVINES ENERGIZING THICKENING TONIC 100ML 71259,ARNAUD,Premium,380.02
175,DAVINES LOVE CONDITIONER LOVELEY SMOOTHING 1L 75042,ARNAUD,Premium,275.01
176,DAVINES LOVE CONDITIONER LOVELY SMOOTHING 250ML 75041,ARNAUD,Premium,310.02
177,DAVINES LOVE CURL CONDITIONER 1L 75528,ARNAUD,Premium,445.02
178,DAVINES LOVE CURL CONDITIONER 250ML 75527,ARNAUD,Premium,445.02
179,DAVINES LOVE CURL CONTROLLER 150ML 75535,ARNAUD,Premium,445.02
180,DAVINES LOVE CURL HAIR MASK 1L 75531,ACADEMIE,Premium,540.0
181,DAVINES LOVE CURL HAIR MASK 250ML 75530,ACADEMIE,Premium,520.0
182,DAVINES LOVE CURL REVITALIZER 250ML 75534,ACADEMIE,Premium,540.0
183,DAVINES LOVE CURL SHAMPOOING 250ML 75524,ACADEMIE,Premium,520.0
184,DAVINES LOVE HAIR SMOOTHER 150ML 75520,ACADEMIE,Premium,540.0
185,DAVINES LOVE SHAMPOOING LOVELY SMOOTHING 1L 75093,ACADEMIE,Premium,344.0
186,DAVINES LOVE SHAMPOOING LOVELY SMOOTHING 250ML 75091,ACADEMIE,Premium,324.0
187,DAVINES MELU CONDITIONER 250ML 75521,ACADEMIE,Premium,568.0
188,DAVINES MELU HAIR SHIELD 250ML 75051,ACADEMIE,Premium,296.0
189,DAVINES MELU SHAMPOOING 1L 75098,ACADEMIE,Premium,512.0
190,DAVINES MELU SHAMPOOING 250ML 75097,ACADEMIE,Premium,192.0
191,DAVINES MINU CONDITIONER 250ML 75107,ACADEMIE,Premium,576.0
192,DAVINES MINU HAIR MASK 250ML 75563,ACADEMIE,Premium,340.0
193,DAVINES MINU SHAMPOOING 1L 75057,ACADEMIE,Premium,432.0
194,DAVINES MINU SHAMPOOING 250ML 75056,ACADEMIE,Premium,374.4
195,DAVINES MOMO CONDITIONER 1L 75016,ACADEMIE,Premium,540.0
196,DAVINES MOMO CONDITIONER 250ML 75015,ACADEMIE,Premium,748.8
197,DAVINES MOMO SHAMPOOING 1L 75012,ACADEMIE,Premium,468.0
198,DAVINES MOMO SHAMPOOING 250ML 75011,ACADEMIE,Premium,0.0
199,DAVINES MORE INSIDE CURL BUILDING SERUM 250ML 87014,ACADEMIE,Premium,108.8
200,DAVINES MORE INSIDE CURL MOISTURIZING MOUSSE 250ML 87052,ARNAUD,Premium,395.02
201,DAVINES MORE INSIDE FORMING POMADE 75ML 87057,ARNAUD,Premium,360.02
202,DAVINES MORE INSIDE GEL FORT 125ML 87013,ARNAUD,Premium,370.02
203,DAVINES MORE INSIDE INVISIBLE NO GAZ SPRAY 250ML 87071,ARNAUD,Premium,260.01
204,DAVINES MORE INSIDE MEDIUM HOLD FINISHING GUM 75ML 87066,ARNAUD,Premium,440.02
205,DAVINES MORE INSIDE MEDIUM HOLD MODELING GEL 87012,ARNAUD,Premium,385.02
206,DAVINES MORE INSIDE MEDIUM HOLD PLIABLE PASTE 125ML 87007,ARNAUD,Premium,110.01
207,DAVINES MORE INSIDE OIL NON OIL 250ML 87086,ARNAUD,Premium,299.01
208,DAVINES MORE INSIDE RELAXING FLUID 125ML 87015,ARNAUD,Premium,360.02
209,DAVINES MORE INSIDE SHIMMERING MIST 200ML 87072,ARNAUD,Premium,360.02
210,DAVINES MORE INSIDE STRONG DRY WAX 75ML 87067,ARNAUD,Premium,380.02
211,DAVINES MORE INSIDE TEXTURIZING DUST 8G 87017,ARNAUD,Premium,275.01
212,DAVINES MORE INSIDE THIS SHINE WAX 75ML 87055,ARNAUD,Premium,310.02
213,DAVINES MORE INSIDE VOLUME BOOSTING MOUSSE 250ML 87051,ARNAUD,Premium,445.02
214,DAVINES NATURAL WELL BEING CONDITIONER 150ML 71174,ARNAUD,Premium,445.02
215,DAVINES NATURAL WELL BEING SHAMPOOING 250ML 71261,ARNAUD,Premium,445.02
216,DAVINES NOUNOU CONDITIONER 250ML 75109,ACADEMIE,Premium,540.0
217,DAVINES NOUNOU HAIR MASK 250ML 75108,ACADEMIE,Premium,520.0
218,DAVINES NOUNOU SHAMPOOING 250ML 75000,ACADEMIE,Premium,540.0
219,DAVINES NOURISHING HAIR BUILDING PAK (MASQUE) 250ML 71308,ACADEMIE,Premium,520.0
220,DAVINES NOURISHING HAIR ROYAL JELLY SUPERACTIVE 6x8ML71181,ACADEMIE,Premium,540.0
221,DAVINES NOURISHING SHAMPOO 250ML 71300,ACADEMIE,Premium,344.0
222,DAVINES NOURISHING SHAMPOOING 1L 71299,ACADEMIE,Premium,324.0
223,DAVINES NOURISHING VEGETARIAN MIRACLE CONDITIONER 1L 71313,ACADEMIE,Premium,568.0
224,DAVINES NOURISHING VEGETARIAN MIRACLE CONDITIONER 250ML 71314,ACADEMIE,Premium,296.0
225,DAVINES OI ALL IN ONE MILK 135ML 76012,ACADEMIE,Premium,512.0
226,DAVINES OI CONDITIONER 250ML 76043,ACADEMIE,Premium,192.0
227,DAVINES OI OIL 135ML 76000,ACADEMIE,Premium,576.0
228,DAVINES OI OIL 50ML 76001,ACADEMIE,Premium,340.0
229,DAVINES OI SHAMPOO 250ML 76004,ACADEMIE,Premium,432.0
230,DAVINES OI SHAMPOOING 1L 76005,ACADEMIE,Premium,374.4
231,DAVINES PURIFYING GEL 150ML 71163,ACADEMIE,Premium,540.0
232,DAVINES PURIFYING SHAMPOO 250ML 71212,ACADEMIE,Premium,748.8
233,DAVINES REBALANCING SHAMPOOING 1L 71271,ACADEMIE,Premium,468.0
234,DAVINES REBALANCING SHAMPOOING 250ML 71265,ACADEMIE,Premium,0.0
235,DAVINES RENEWING CONDITIONER 250ML 71245,ACADEMIE,Premium,108.8
236,DAVINES RENEWING SHAMPOOING 250ML 71243,ARNAUD,Premium,395.02
237,DAVINES REPLUMPING CONDITIONER 150ML 71219,ARNAUD,Premium,360.02
238,DAVINES REPLUMPING HAIR FILLER SUPERACTIVE 1L 71216,ARNAUD,Premium,370.02
239,DAVINES REPLUMPING SHAMPOO 250ML 71266,ARNAUD,Premium,260.01
240,DAVINES SOLU SHAMPOONG 250ML 75026,ARNAUD,Premium,440.02
241,DAVINES SU HAIR MILK 135ML 90144,ARNAUD,Premium,385.02
242,DAVINES THE LET IT GO CIRCLE 50ML 77012,ARNAUD,Premium,110.01
243,DAVINES THE LET IT GO CIRCLE 750ML 77013,ARNAUD,Premium,299.01
244,DAVINES THE PURITY CIRCLE 50ML77002,ARNAUD,Premium,360.02
245,DAVINES THE PURITY CIRCLE 750ML 77003,ARNAUD,Premium,360.02
246,DAVINES THE QUICK FIX CIRCLE 50ML 77006,ARNAUD,Premium,380.02
247,DAVINES THE QUICK FIX CIRCLE 750ML 77007,ARNAUD,Premium,275.01
